,bhk,locality,sqft,price_per_sqft,bath,Price_Lakhs,Build_year,Age
0,2,Tathawade,950,5052,2.0,48.0,2022.0,1.0
2,2,Ravet,965,4974,2.0,48.0,2023.0,2.0
3,2,Ravet,975,5128,2.0,50.0,2020.0,-1.0
4,3,Tathawade,1125,5511,2.0,62.0,2023.0,2.0
6,2,Ravet,945,5291,2.0,50.0,2022.0,1.0
7,2,Ravet,899,4949,2.0,44.5,2024.0,3.0
8,2,Tathawade,985,4974,2.0,49.0,2017.0,-4.0
9,2,Tathawade,935,4973,2.0,46.5,2022.0,1.0
10,3,Tathawade,1059,5476,3.0,58.0,2023.0,2.0
11,3,Tathawade,1165,5321,3.0,62.0,2022.0,1.0
12,2,Tathawade,970,4948,2.0,48.0,2022.0,1.0
13,2,Ravet,925,5189,2.0,48.0,2019.0,-2.0
14,1,Gulab Nagar Pune,611,5728,1.0,35.0,2003.0,-18.0
15,1,Dhankawadi,620,5645,1.0,35.0,2005.0,-16.0
16,3,Thergaon,819,12210,,100.0,2023.0,2.0
17,2,Thergaon,606,11000,,66.66,2023.0,2.0
18,2,Thergaon,637,11000,,70.07,2023.0,2.0
19,2,Thergaon,604,11000,,66.44,2023.0,2.0
20,3,Thergaon,919,12210,,112.00000000000001,2023.0,2.0
21,2,Thergaon,636,11000,,69.96,2023.0,2.0
22,3,Thergaon,872,12210,,106.0,2023.0,2.0
23,3,Thergaon,823,12210,,100.0,2023.0,2.0
24,2,Thergaon,641,11000,,70.51,2023.0,2.0
25,2,Thergaon,602,11000,,66.22,2023.0,2.0
26,2,Thergaon,633,11000,,69.63,2023.0,2.0
27,2,Thergaon,600,11000,,66.0,2023.0,2.0
28,2,Tathawade,935,4973,2.0,46.5,2022.0,1.0
29,2,Tathawade,930,5161,2.0,48.0,2017.0,-4.0
30,2,Tathawade,925,5081,2.0,47.0,2018.0,-3.0
31,2,Tathawade,900,5111,2.0,46.0,2023.0,2.0
33,2,Tathawade,930,5591,2.0,52.0,2024.0,3.0
34,2,Tathawade,925,5081,2.0,47.0,2022.0,1.0
35,2,Tathawade,915,5355,2.0,49.0,2024.0,3.0
36,2,Tathawade,915,5573,2.0,51.0,2019.0,-2.0
37,2,Tathawade,920,5108,1.0,47.0,2019.0,-2.0
38,2,Tathawade,920,5543,2.0,51.0,2018.0,-3.0
39,2,Tathawade,920,4782,2.0,44.0,2023.0,2.0
40,2,Ravet,930,5161,2.0,48.0,2021.0,0.0
41,2,Ravet,1033,5343,2.0,55.2,2023.0,2.0
42,1,Tathawade,600,5833,1.0,35.0,2015.0,-6.0
44,3,Ravet,1328,4969,3.0,66.0,2023.0,2.0
45,2,Tathawade,972,4938,2.0,48.0,2018.0,-3.0
47,2,Tathawade,528,12229,,64.44,2023.0,2.0
48,2,Tathawade,460,13159,,60.39,2023.0,2.0
49,2,Tathawade,532,12480,,66.26,2023.0,2.0
50,2,Tathawade,512,12015,,61.39,2023.0,2.0
51,2,Tathawade,527,12785,,67.24,2023.0,2.0
52,2,Tathawade,488,13952,,67.94,2023.0,2.0
53,2,Tathawade,477,13151,,62.59,2023.0,2.0
54,2,Tathawade,537,12490,,66.94,2023.0,2.0
55,2,Tathawade,516,12250,,63.08,2023.0,2.0
56,2,Tathawade,511,11954,,60.96,2023.0,2.0
57,2,Tathawade,442,13603,,59.98,2023.0,2.0
58,2,Tathawade,473,13150,,62.07,2023.0,2.0
59,2,Ravet,950,4631,2.0,44.0,2022.0,1.0
60,3,Tathawade,830,9139,,75.85,2027.0,6.0
61,3,Tathawade,659,10280,,67.74,2027.0,6.0
62,2,Tathawade,613,9502,,58.24,2027.0,6.0
63,2,Tathawade,503,11410,,57.27,2027.0,6.0
64,2,Ravet,950,5052,2.0,48.0,2017.0,-4.0
65,3,Tathawade,1350,7037,2.0,95.0,2019.0,-2.0
66,2,Tathawade,955,4921,2.0,47.0,2016.0,-5.0
68,2,Ravet,1000,4700,2.0,47.0,2022.0,1.0
69,1,Ravet,690,5144,1.0,35.5,2022.0,1.0
70,2,Ravet,1033,5494,2.0,56.76,2023.0,2.0
74,1,Ravet,668,5434,1.0,36.3,2023.0,2.0
75,3,Ravet,1228,5432,2.0,66.71,2023.0,2.0
76,2,Ravet,978,5397,2.0,52.78,2023.0,2.0
78,1,Bibwewadi,620,7741,1.0,48.0,2006.0,-15.0
79,1,Walvekar Nagar,620,11290,1.0,70.0,2005.0,-16.0
80,1,Katraj,620,4516,1.0,28.0,2016.0,-5.0
81,2,Bibwewadi,800,7500,2.0,60.0,1998.0,-23.0
82,2,Ambegaon Budruk,1005,4676,2.0,47.0,2013.0,-8.0
83,2,Bibwewadi,1100,8636,2.0,95.0,2013.0,-8.0
84,2,Parvati Darshan,1080,8796,2.0,95.0,2014.0,-7.0
85,3,Bibwewadi,1500,7666,3.0,114.99999999999999,2014.0,-7.0
