bhk,locality,Price,sqft,status,Possession,price_per_sqft,Age_old,bath
2,Tathawade,48 L,950,Under Construction,Possession by Aug 2022,"5,052 / sq ft",,2
2,Tathawade,47 L,920,Under Construction,,"5,108 / sq ft",,2
2,Ravet,48 L,965,Under Construction,Possession by Mar 2023,"4,974 / sq ft",,2
2,Ravet,50 L,975,Ready to move,,"5,128 / sq ft",1,2
3,Tathawade,62 L,1125,Under Construction,Possession by Mar 2023,"5,511 / sq ft",,2
1,Tathawade,48 L,920,Under Construction,,"5,217 / sq ft",,2
2,Ravet,50 L,945,Under Construction,Possession by Sep 2022,"5,291 / sq ft",,2
2,Ravet,44.5 L,899,Under Construction,Possession by Jan 2024,"4,949 / sq ft",,2
2,Tathawade,49 L,985,Ready to move,,"4,974 / sq ft",4,2
2,Tathawade,46.5 L,935,Under Construction,Possession by Aug 2022,"4,973 / sq ft",,2
3,Tathawade,58 L,1059,Under Construction,Possession by Apr 2023,"5,476 / sq ft",,3
3,Tathawade,62 L,1165,Under Construction,Possession by Dec 2022,"5,321 / sq ft",,3
2,Tathawade,48 L,970,Under Construction,Possession by Dec 2022,"4,948 / sq ft",,2
2,Ravet,48 L,925,Ready to move,,"5,189 / sq ft",2,2
1,Gulab Nagar Pune,35 L,611,Ready to move,,"5,728 / sq ft",18,1
1,Dhankawadi,35 L,620,Ready to move,,"5,645 / sq ft",16,1
3,Thergaon,1 Cr,819,Under Construction,Possession by Nov 2023,"12,210 / sq ft",,
2,Thergaon,66.66 L,606,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
2,Thergaon,70.07 L,637,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
2,Thergaon,66.44 L,604,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
3,Thergaon,1.12 Cr,919,Under Construction,Possession by Nov 2023,"12,210 / sq ft",,
2,Thergaon,69.96 L,636,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
3,Thergaon,1.06 Cr,872,Under Construction,Possession by Nov 2023,"12,210 / sq ft",,
3,Thergaon,1 Cr,823,Under Construction,Possession by Nov 2023,"12,210 / sq ft",,
2,Thergaon,70.51 L,641,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
2,Thergaon,66.22 L,602,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
2,Thergaon,69.63 L,633,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
2,Thergaon,66 L,600,Under Construction,Possession by Nov 2023,"11,000 / sq ft",,
2,Tathawade,46.5 L,935,Under Construction,Possession by May 2022,"4,973 / sq ft",,2
2,Tathawade,48 L,930,Ready to move,,"5,161 / sq ft",4,2
2,Tathawade,47 L,925,Ready to move,,"5,081 / sq ft",3,2
2,Tathawade,46 L,900,Under Construction,Possession by Mar 2023,"5,111 / sq ft",,2
2,Tathawade,46 L,930,Under Construction,,"4,946 / sq ft",,2
2,Tathawade,52 L,930,Under Construction,Possession by May 2024,"5,591 / sq ft",,2
2,Tathawade,47 L,925,Under Construction,Possession by Aug 2022,"5,081 / sq ft",,2
2,Tathawade,49 L,915,Under Construction,Possession by Sep 2024,"5,355 / sq ft",,2
2,Tathawade,51 L,915,Ready to move,,"5,573 / sq ft",2,2
2,Tathawade,47 L,920,Ready to move,,"5,108 / sq ft",2,1
2,Tathawade,51 L,920,Ready to move,,"5,543 / sq ft",3,2
2,Tathawade,44 L,920,Under Construction,Possession by Dec 2023,"4,782 / sq ft",,2
2,Ravet,48 L,930,Ready to move,,"5,161 / sq ft",0,2
2,Ravet,55.2 L,1033,Under Construction,Possession by May 2023,"5,343 / sq ft",,2
1,Tathawade,35 L,600,Ready to move,,"5,833 / sq ft",6,1
3,Ravet,80 L,1300,Under Construction,,"6,153 / sq ft",,3
3,Ravet,66 L,1328,Under Construction,Possession by Sep 2023,"4,969 / sq ft",,3
2,Tathawade,48 L,972,Ready to move,,"4,938 / sq ft",3,2
1,Ravet,41.5 L,680,Ready to move,,"6,102 / sq ft",,1
2,Tathawade,64.44 L,528,Under Construction,Possession by Mar 2023,"12,229 / sq ft",,
